"Ht_temporal_entropy" "Hf_spectral_entropy" "number_of_freq_peaks" "number_of_freq_peaks_cqv" "peak_freq" "peak_freq_cqv" "ACTfract" "spectral_bandwidth_90" "ugof_isochronous" "npvi_ioi" "npvi_ioi_cqv" "num_syllables_per_unit_time" "duration_song" "syllable_duration_median" "ioi_duration_median" "syllable_duration_median_cqv"
"Emberiza_schoeniclus" 0.8312 0.5789 22.75 7.2626 3699.1279 0.3653 0.3146 1593.457 0.5261 7.5882 3.4657 4.875 2 0.062 0.2012 3.8336
"Erithacus_rubecula" 0.8301 0.5906 21.25 13.1429 4314.5908 0.401 0.2834 1884.1553 0.5305 19.0011 12.8349 8.1833 3 0.0475 0.1039 2.6633
"Ficedula_hypoleuca" 0.8277 0.6241 29 8.4746 4122.482 1.9736 0.3078 2205 0.4881 19.9369 22.2514 6.8 2 0.0566 0.1685 1.3593
"Fringilla_coelebs" 0.8153 0.5785 25 4 3190.8477 4.0615 0.2946 1525.7812 0.3872 9.1774 17.0672 7.119 2 0.0617 0.1443 13.4809
"Galerida_cristata" 0.809 0.5692 19.25 14.4654 4049.6924 1.4918 0.3081 1259.6924 0.4732 26.9897 9.5433 5.725 9.75 0.0537 0.1468 3.9723
"Garrulus_glandarius" 0.9051 0.6666 33 2.9412 2840.9031 3.8813 0.2184 2583.9844 0.458 22.5785 3.3265 6 1 0.0508 0.1157 8.5647
"Hippolais_icterina" 0.8422 0.7301 37.25 1.6835 4216.958 22.5041 0.3273 4231.2744 0.5037 19.0543 13.6311 6.4571 13.75 0.0513 0.148 1.5787
"Hippolais_polyglotta" 0.7893 0.599 30.0833 14.2857 3775.333 3.6111 0.2748 2052.832 0.5374 17.2269 12.0633 7.0916 3.25 0.0519 0.1304 8.8159
"Hirundo_rustica" 0.8471 0.6597 14.6667 10 4209.0859 5.1284 0.3104 2311.2305 0.4952 26.6433 4.7837 7 7 0.0493 0.1263 1.4719
"Jynx_torquilla" 0.844 0.5039 22 7.8652 3213.8919 6.2353 0.2883 1650.8789 0.4604 12.3857 44.9878 5.6278 4 0.0585 0.193 4.4032
"Lanius_collurio" 0.748 0.56 26.6364 8.4112 2849.8679 16.5475 0.2601 2290.3498 0.4867 22.088 32.887 6.9242 1.4545 0.0518 0.1174 8.0706
"Lanius_excubitor" 0.7205 0.4011 26.4737 13.2075 2675.5841 10.2455 0.2875 784.2619 0.4156 20.6013 26.9419 4.4737 1.0526 0.0515 0.1352 4.7306
"Lanius_minor" 0.696 0.3914 26.9444 14.2857 2644.0658 10.2899 0.2701 717.7734 0.5235 25.4329 19.6322 4.8611 0.9444 0.05 0.1377 4.7419
"Lanius_senator" 0.8198 0.6723 33 3.0303 3398.1465 1.002 0.3391 2799.3164 0.4876 21.3716 2.1345 6.4652 16.5 0.0515 0.1382 0.6988
"Dendrocopos_medius" 0.9057 0.5764 32.1 3.125 2819.7832 3.7727 0.1957 1813.0957 0.4934 17.3017 14.3376 6.315 3.1 0.0588 0.1213 9.4724
"Carduelis_cannabina" 0.8819 0.6899 32 0 3208.9141 0 0.2791 2799.3164 0.5106 18.5962 0 7 14 0.0551 0.1335 0
"Locustella_naevia" 0.9076 0.5023 11 0 5971.1641 0 0.2528 1248.9258 0.4927 19.7127 0 9.6 33 0.0493 0.1016 0
"Parus_cristatus" 0.8082 0.5568 20.1667 7.6923 4496.0397 20.787 0.2786 2368.6523 0.5235 17.2695 9.4005 10.3333 1.8333 0.041 0.0874 9.4933
"Loxia_curvirostra" 0.6838 0.5492 33.6 6.3197 4276.7277 3.2426 0.3403 1942.2949 0.0816 2.3773 0 2.6 0.2 0.0542 0.173 0.0081
"Lullula_arborea" 0.7868 0.5192 8.6 25 3672.4047 12.4965 0.3085 1180.0195 0.4733 14.4608 48.5373 7.0667 3.8 0.0547 0.1387 9.6786
"Luscinia_megarhynchos" 0.7514 0.5245 21.6 2.2222 2971.7156 8.4654 0.2938 1567.6172 0.4972 17.2763 55.6853 6.5667 3.4 0.0549 0.1421 7.8925
"Luscinia_svecica" 0.796 0.553 25 15.8416 4021.3926 4.9403 0.288 1690.3564 0.5121 22.1732 15.7731 7.0491 7.75 0.0533 0.1576 2.3896
"Merops_apiaster" 0.7582 0.4356 26.375 8.9202 1943.3135 3.384 0.2535 576.0132 0.5323 14.6991 22.692 5.3229 3.375 0.0558 0.1653 6.0783
"Motacilla_alba" 0.811 0.6071 17.875 13.6691 4464.9482 1.915 0.2532 1873.3887 0.0657 2.4201 0 2.5 2 0.0596 0.0926 19.929
"Motacilla_cinerea" 0.7849 0.5946 12.6 15.3846 6147.2164 1.9362 0.2796 1998.2812 0.5498 12.5998 15.929 6.15 1.6 0.052 0.1228 4.1057
"Motacilla_flava" 0.7696 0.613 21.5556 16.2791 4897.1558 2.067 0.2631 1985.8398 0.354 23.5267 100 3.7222 0.7778 0.0559 0.1335 1.9428
"Muscicapa_striata" 0.7114 0.6927 33 8.1481 7020.7578 4.4673 0.1992 3732.4219 0.5235 22.1088 13.5378 5.4048 8.6667 0.0513 0.1654 0.711
"Nucifraga_caryocatactes" 0.8905 0.5751 18 1.3889 2111.9375 0.2071 0.3164 1238.1592 0.5512 34.0984 5.1659 4.5 2.25 0.1065 0.219 24.6465
"Oenanthe_oenanthe" 0.7871 0.5432 32.4444 4.6154 4088.1311 3.175 0.2672 1583.8867 0.4807 16.6524 18.7287 7.7222 1.4444 0.0561 0.1314 4.1065
"Oriolus_oriolus" 0.7345 0.3899 29.4286 5.1724 2085.8638 5.8256 0.2554 682.9102 0.509 16.7078 32.1163 6.7143 1 0.0511 0.138 3.4524
"Parus_major" 0.8458 0.471 22.4 9.0909 4165.7484 0.9278 0.2973 1309.2188 0.5087 25.8361 24.0881 5.8333 3.4 0.0569 0.1548 9.4297
"Passer_domesticus" 0.9148 0.5794 37.6 5.2632 3715.4578 10.6356 0.1645 1860.4688 0 0 0 1.4 0 0.0633 0.0936 19.7557
"Passer_montanus" 0.637 0.6332 36.3333 0.6897 3122.4258 1.6364 0.3263 2368.6523 0.1586 9.7897 100 3.5556 3 0.0626 0.1819 10.7254
"Parus_ater" 0.823 0.5661 20.9 10.8571 5191.3422 4.2154 0.2569 1929.375 0.5019 15.6813 55.6653 6.8357 3.1 0.057 0.1369 6.1822
"Petronia_petronia" 0.8105 0.5664 32.1429 3.125 3518.6456 16.8455 0.2298 1790.332 0 0 0 2 0 0.0639 0.1603 6.2488
"Phoenicurus_ochruros" 0.7654 0.5728 24.3333 5.1546 4524.9062 4.9337 0.3033 1291.9922 0.514 19.4567 7.754 6.6944 4.6667 0.051 0.125 5.0007
"Phoenicurus_phoenicurus" 0.7904 0.5297 27.6 7.1429 4054.5891 0.1357 0.2906 1765.7227 0.4956 21.1881 6.6753 7.0667 2.2 0.0525 0.144 1.3877
"Phylloscopus_bonelli" 0.8856 0.6762 23.1667 6.8063 4194.2305 1.2747 0.16 2605.5176 0.3907 4.4872 12.0828 12.8333 1 0.0317 0.0614 1.7324
"Phylloscopus_collybita" 0.7558 0.6082 22.8 8.6957 4080.6289 2.3404 0.3112 1731.2695 0.4927 25.2792 43.6866 5.0833 3.6 0.054 0.1911 9.8602
"Phylloscopus_sibilatrix" 0.8484 0.6111 22.75 13.8122 4404.2236 20.4204 0.2888 2271.7529 0.514 15.688 35.0896 9.7292 4 0.0457 0.111 3.8857
