"","path","file","name","Nom scientifique / Autorité","latin.name"
"138","3 faucon cre´cerelle - glare´ole a` collier/44 e´chasse blanche.mp3","44 e´chasse blanche.mp3","e´chasse blanche","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus"
"139","5 sterne naine - martinet des maisons/42 effraie des clochers.mp3","42 effraie des clochers.mp3","effraie des clochers","Tyto alba (Scopoli, 1769)","Tyto alba"
"140","2 canard mandarin - autour sombre/16 eider a` duvet.mp3","16 eider a` duvet.mp3","eider a` duvet","Somateria mollissima (Linnaeus, 1758)","Somateria mollissima"
"141","2 canard mandarin - autour sombre/17 eider a` te^te grise.mp3","17 eider a` te^te grise.mp3","eider a` te^te grise","Somateria spectabilis (Linnaeus, 1758)","Somateria spectabilis"
"142","2 canard mandarin - autour sombre/18 eider de Steller.mp3","18 eider de Steller.mp3","eider de steller","Polysticta stelleri (Pallas, 1769)","Polysticta stelleri"
"143","5 sterne naine - martinet des maisons/46 engoulevent a` collier roux.mp3","46 engoulevent a` collier roux.mp3","engoulevent a` collier roux","Caprimulgus ruficollis Temminck, 1820","Caprimulgus ruficollis"
"144","5 sterne naine - martinet des maisons/45 engoulevent d'Europe.mp3","45 engoulevent d'Europe.mp3","engoulevent d'europe","Caprimulgus europaeus Linnaeus, 1758","Caprimulgus europaeus"
"145","5 sterne naine - martinet des maisons/47 engoulevent du de´sert.mp3","47 engoulevent du de´sert.mp3","engoulevent du de´sert",NA,"caprimulgus aegyptius"
"146","2 canard mandarin - autour sombre/55 e´pervier a` pieds courts.mp3","55 e´pervier a` pieds courts.mp3","e´pervier a` pieds courts",NA,"accipiter brevipes"
"147","2 canard mandarin - autour sombre/54 e´pervier d'Europe.mp3","54 e´pervier d'Europe.mp3","e´pervier d'europe","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus"
"148","2 canard mandarin - autour sombre/28 e´rismature a` te^te blanche.mp3","28 e´rismature a` te^te blanche.mp3","e´rismature a` te^te blanche","Oxyura leucocephala (Scopoli, 1769)","Oxyura leucocephala"
"149","2 canard mandarin - autour sombre/29 e´rismature rousse.mp3","29 e´rismature rousse.mp3","e´rismature rousse","Oxyura jamaicensis (Gmelin, JF, 1789)","Oxyura jamaicensis"
"150","9 me´sange charbonnie`re - e´tourneau roselin/43 e´tourneau roselin.mp3","43 e´tourneau roselin.mp3","e´tourneau roselin","Pastor roseus (Linnaeus, 1758)","Pastor roseus"
"151","9 me´sange charbonnie`re - e´tourneau roselin/41 e´tourneau sansonnet.mp3","41 e´tourneau sansonnet.mp3","e´tourneau sansonnet","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris"
"152","9 me´sange charbonnie`re - e´tourneau roselin/42 e´tourneau unicolore.mp3","42 e´tourneau unicolore.mp3","e´tourneau unicolore","Sturnus unicolor Temminck, 1820","Sturnus unicolor"
"153","3 faucon cre´cerelle - glare´ole a` collier/29 faisan de Colchide.mp3","29 faisan de Colchide.mp3","faisan de colchide","Phasianus colchicus Linnaeus, 1758","Phasianus colchicus"
"154","3 faucon cre´cerelle - glare´ole a` collier/30 faisan dore´.mp3","30 faisan dore´.mp3","faisan dore´",NA,"chrysolophus pictus"
"155","3 faucon cre´cerelle - glare´ole a` collier/01 faucon cre´cerelle.mp3","01 faucon cre´cerelle.mp3","faucon cre´cerelle","Falco tinnunculus Linnaeus, 1758","Falco tinnunculus"
"156","3 faucon cre´cerelle - glare´ole a` collier/02 faucon cre´cerellette.mp3","02 faucon cre´cerellette.mp3","faucon cre´cerellette","Falco naumanni Fleischer, JG, 1818","Falco naumanni"
"157","3 faucon cre´cerelle - glare´ole a` collier/05 faucon d'Ele´onore.mp3","05 faucon d'Ele´onore.mp3","faucon d'ele´onore","Falco eleonorae Géné, 1839","Falco eleonorae"
