duration_song,centroid_f,Ht_temporal_entropy,LFC_spectral_cover,MFC_spectral_cover,HFC_spectral_cover,Hf_spectral_entropy,number_of_freq_peaks,Hf_Havrda_spectral_entropy,Hf_Renyi_spectral_entropy,Hf_pairedShannon_spectral_entropy,Hf_gamma_spectral_entropy,Hf_GiniSimpson_spectral_entropy,peak_freq,peak_freq_amp_by_mean_amp,peak_f_roi,centroid_f_roi,num_syllables_per_unit_time,syllable_duration_mean,syllable_duration_std,mean_gap_duration,gap_duration_std,sound_per_silence_ratio,sound_per_vocalization_ratio,drumming,birdlife_sci_name,short_or_continuous_song
26,2282.5195,0.7754,0.3997,0.2647,0.3418,0.517,17,0.3315,2.608,4.1951,1056.892,0.9414,2046.0547,4.0293,2047.1211,2325.5859,6.3077,0.0554,0.0274,0.1035,0.0627,0.5384,0.3494,no,Pyrrhula pyrrhula,short
2,4112.8418,0.8312,0.4167,0.3591,0.3766,0.579,22.75,0.3325,3.0243,4.5916,1732.7824,0.961,3699.1279,3.6054,3701.1445,4091.3086,4.875,0.0681,0.0275,0.1167,0.0257,0.6397,0.3312,no,Emberiza schoeniclus,short
2.6667,4507.6172,0.7399,0.3956,0.3306,0.3631,0.6334,30,0.3328,3.3156,4.936,3519.8452,0.9693,4847.7266,2.2986,4852.0599,4536.3281,7.6111,0.0486,0.0143,0.0922,0.0497,0.5576,0.3704,no,Emberiza cia,short
1.7273,3832.9102,0.836,0.3617,0.3329,0.3692,0.4579,22.2727,0.3263,2.3039,3.8016,748.4298,0.8981,3694.8082,10.8204,3691.1658,3821.1648,6.6364,0.0544,0.0202,0.0751,0.0358,0.6006,0.3635,no,Emberiza hortulana,medium
2.75,5749.3652,0.8415,0.4222,0.3654,0.4058,0.6505,20.5,0.333,3.6113,5.0455,3400.8759,0.9759,5221.4688,1.0452,5116.8359,5760.1318,9.125,0.0454,0.0204,0.0605,0.0398,0.7874,0.4127,no,Emberiza calandra,long
2.25,2530.1514,0.8905,0.3815,0.3695,0.3988,0.5751,18,0.3327,3.1746,4.5688,2615.6259,0.9625,2111.9375,1.1873,2110.9375,2551.6846,4.5,0.0999,0.0543,0.131,0.1077,0.7887,0.4105,no,Nucifraga caryocatactes,""
3.4444,3828.125,0.8056,0.3465,0.3293,0.3438,0.6344,27.8889,0.333,3.5226,4.9446,2614.0164,0.9742,3413.75,1.3593,3615.6228,3813.7695,6.4057,0.0491,0.0123,0.0705,0.0295,0.4194,0.3094,no,Carduelis carduelis,short
0.6667,3120.8789,0.7909,0.339,0.3122,0.3192,0.5244,28.5333,0.3303,2.6479,4.2353,1646.5988,0.9317,3045.0307,2.3021,3042.5063,3097.9102,2.6667,0.0612,0.0229,0.1133,0.0291,0.1602,0.1602,no,Pyrrhocorax graculus,""
0.4444,1952.3437,0.7831,0.2531,0.2698,0.278,0.5026,31.1111,0.3308,2.5395,4.0989,1644.2986,0.9301,1894.4184,3.6638,1896.8628,1961.914,4,0.0559,0.0241,0.071,0.0232,0.2328,0.2328,no,Corvus monedula,short
6.75,4091.3086,0.7534,0.4175,0.3212,0.3934,0.6362,22,0.333,3.4725,4.955,2796.6127,0.9732,3988.8428,1.0276,3985.5762,4080.542,5.0496,0.0597,0.021,0.1412,0.0734,0.4486,0.2985,no,Cinclus cinclus,short
14,6933.6914,0.6902,0.285,0.2286,0.272,0.6065,14,0.3329,3.3502,4.7681,2179.2731,0.9697,7193.0234,1.6646,7193.0234,6933.6914,4.0714,0.0527,0.0222,0.1867,0.1358,0.2872,0.2145,no,Cisticola juncidis,long
9.75,3843.6768,0.809,0.4039,0.3172,0.3837,0.5692,19.25,0.3328,3.2495,4.5331,1189.1408,0.9652,4049.6924,2.4978,4045.1758,3865.21,5.725,0.0564,0.0222,0.1173,0.0946,0.5107,0.3252,no,Galerida cristata,short
