"";"NomS";"SGIo";"RANGE_BIRDLIFE";"Affinity";"Hand-Wing.Index";"Beak.Depth";"Mass";"Migration";"Habitat";"Trophic.Niche";"Primary.Lifestyle";"Centroid.Latitude";"Range.Size";"avg.clutch";"social";"longevity";"X2019_uicn_redlist";"syn1";"syn2";"syn3";"syn4";"Ht";"Hf";"nfp";"nfp.cqv";"pf";"pf.cqv";"actfract";"sp.bdw";"ugof.iso";"npvi.ioi";"npvi.ioi.cqv";"n.syll";"dur";"syll.dur.med";"ioi.dur.med";"syll.dur.med.cqv";"nonphy.acou.PC1";"nonphy.acou.PC2";"phy.acou.PC1";"phy.acou.PC2"
"108";"Prunella modularis";2,20299898;58,249;1126;21,2;3,6;20,24;1;"Forest";"Invertivore";"Terrestrial";56,25;6779516,3;5;NA;20,8;"LC";0,0298731750093175;0,0237279831351838;0,0413426147958816;0,0307329399557306;0,8404;0,6218;14,5;5,0847;5268,5684;1,1375;0,2857;1923,6328;0,505;14,7228;6,0252;8,6667;3,1667;0,0519;0,1144;1,0565;1,90918085284816;0,272813336636381;-1,75354921126485;-1,46471488844836
"109";"Ptyonoprogne rupestris";1,590532584;18,824;76;56;2,6;20,4;2;"Rock";"Invertivore";"Aerial";37,85;10906260,69;3,5;3,5;NA;"LC";-0,378898698513451;-0,335084713427252;-0,817714570275732;-0,602434613352404;0,7916;0,5658;33,1304;8,8235;3444,1591;11,1111;0,1726;1664,6102;0,1217;5,0529;100;1,9565;0,3043;0,0602;0,1525;11,9431;-4,19242789469989;-2,89582013501479;2,94650183727123;2,90935683721762
"110";"Pyrrhocorax graculus";1,072754227;4,553;86;36,7;9,8;211;2;"Rock";"Invertivore";"Terrestrial";38,96;3556954,7;4;2;24,42;"LC";NA;NA;NA;NA;0,7909;0,5244;28,5333;11,3043;3045,0307;4,1049;0,247;1406,8359;0,2848;15,1902;100;2,6667;0,6667;0,0614;0,1605;17,5492;-3,71316057100487;-0,895128323212296;2,64940631954344;1,79510890380798
"111";"Pyrrhocorax pyrrhocorax";0,189326279;4,215;178;39;12,6;276,68;2;"Rock";"Invertivore";"Terrestrial";40,2;12981520,53;4;2,5;20,3;"LC";-0,803784793055;-1,24657492932307;-1,7953324153121;-1,32773530265052;0,8855;0,6011;29,8571;10,9244;2329,5195;9,1375;0,2232;2036,4258;0,4312;24,7236;55,4132;3,3265;1;0,0625;0,135;7,0709;-1,32741179091293;-0,80887636813249;1,16388590429663;2,27127247549304
"112";"Pyrrhula pyrrhula";1,6906038;60,105;860;24,9;9;24,26;1;"Forest";"Omnivore";"Insessorial";56,29;17864017,39;4,5;NA;17,5;"LC";-0,328506839780856;-0,257991050138274;-0,486864549024322;-0,449187831776558;0,7754;0,517;17;0;2046,0547;0;0,2599;1119,7266;0,5102;22,509;0;6,3077;26;0,0515;0,1437;0;1,53417456794366;2,57988045215504;-0,705584453551098;-0,477584050506918
"113";"Regulus ignicapilla";1,608327984;40,92;563;22;2,1;5,6;3;"Forest";"Invertivore";"Insessorial";46,92;2693877,52;8,8;2,5;NA;"LC";-0,220787446382448;-0,183736988466881;-0,355693749107197;-0,304344307115378;0,8585;0,4492;16;25,3968;7526,7881;1,7172;0,2388;667,5293;0,4907;6,6804;19,5204;8,375;2,25;0,0546;0,1161;1,1699;0,176120232944033;0,406950738519964;-0,530214673633462;-2,462809970767
"114";"Regulus regulus";1,279645914;54,54;989;22;2,1;5,54;3;"Forest";"Invertivore";"Insessorial";51,77;13206760,36;10;2,5;7;"LC";-0,196804707086486;-0,132435227000921;-0,341004291674787;-0,280696287136772;0,8045;0,6118;23;10,1124;6150,2679;11,8072;0,2747;2633,2031;0,5039;18,7238;7,2461;8,3095;3;0,0495;0,1172;1,4719;1,93253148072158;-1,18086799501219;-1,96057671608322;-0,338819096434288
"115";"Riparia riparia";1,513512337;33,314;187;53;2,5;12,68;3;"Riverine";"Invertivore";"Aerial";54,72;36583654,61;4,5;1;10;"LC";0,272728594422377;0,128206016726757;0,404869454353346;0,28874711858973;0,85;0,6605;17;20,5882;4418,0846;5,2825;0,2743;2167,6758;0,48;20,3111;14,1823;7;5,6667;0,0568;0,135;8,0899;0,625902759466977;-0,0327751320676232;-0,640304506773849;-0,511654551043381
"116";"Saxicola rubetra";1,461101886;60,311;320;26,7;3,8;16,6;3;"Shrubland";"Invertivore";"Insessorial";55,53;10238944,41;5,5;NA;6,9;"LC";0,0600397387237335;-0,244602050311531;-0,00600184781345284;0,0170964510092513;0,7499;0,6097;29,9286;11,5702;3525,8647;9,687;0,2698;2067,1875;0,501;17,7656;52,7964;6,6786;1,4286;0,0524;0,1297;8,5735;-0,317079742412181;-1,11076636100926;0,177611358893993;0,67755589254108
"117";"Saxicola torquatus";1,832012532;62,664;NA;20,8;3,4;14,09;2;"Shrubland";"Invertivore";"Insessorial";42,7;32655980,34;5;NA;8,83;"LC";0,0833058496668717;-0,136286491135374;0,0890098758088544;0,0594805966495128;0,8517;0,6055;28;11,1111;4405,0625;5,2729;0,2704;1765,7227;0,4938;17,7486;25,12;9,8333;1;0,0525;0,1321;2,7074;1,06408683183514;-0,38940053414712;-0,991755740032555;-0,296887893898968
"118";"Serinus serinus";1,775879738;63,277;618;29,3;5,2;11,2;2;"Forest";"Granivore";"Generalist";45,07;4819417,99;3,5;NA;8,67;"LC";0,0263409188514836;0,0820597912477803;0,00617995099151348;0,0434033242185178;0,8867;0,7094;37,3333;2,6667;6807,4258;2,9657;0,2547;3402,2461;0,4181;17,4643;4,2839;9,9167;3;0,045;0,0953;0;3,37383184002915;-2,86320894320804;-3,68421280725502;0,90255062920222
"119";"Sitta europaea";1,798180193;62,15;1111;23,8;4,6;20,37;1;"Forest";"Invertivore";"Insessorial";52,64;21575986,15;7;3;12,92;"LC";-0,114044173036205;-0,127157492895173;-0,184943258195417;-0,163877122267206;0,8368;0,4365;18,8182;15,3846;3191,2173;2,2509;0,2681;775,1953;0,4759;13,2582;85,8081;7,697;2,6364;0,0486;0,1425;15,4736;-1,83960767928837;1,03508464235556;2,06970375368904;-1,33773151150802
"120";"Spinus spinus";1,626080998;6,719;636;36,5;6,1;13,24;1;"Forest";"Granivore";"Insessorial";55,86;8968022,11;4;NA;13,5;"LC";-0,229201163584473;-0,191330142590804;-0,329118253473198;-0,294061322636256;0,8419;0,6022;31;8,4746;4173,7617;4,3254;0,2835;1894,9219;0,516;17,6662;13,7691;8,1943;5,2;0,0505;0,1225;2,8645;1,4262338351207;-0,338135683285423;-1,39154590311084;0,0167935121552919
"121";"Streptopelia decaocto";1,698811242;59,848;486;35,4;3,9;148,96;1;"Human Modified";"Omnivore";"Terrestrial";40,2;19265912,02;2;NA;17,75;"LC";0,119732392390922;0,0775802652075012;0,215183370449356;0,18180741688943;0,8403;0,2309;1;0;513,7305;0;0,3585;129,1992;0,5308;22,9677;0;6,9524;21;0,0508;0,1495;0;0,437204090432132;6,03638363882396;1,07974629683559;-3,36136420719966
"122";"Streptopelia turtur";2,155016814;61,508;209;43,5;4,9;132;3;"Woodland";"Granivore";"Terrestrial";45,44;17578320,62;2;NA;13,17;"VU";-0,00400539417008206;-0,139258247175991;0,0366397450409891;-0,0063149538484762;0,8343;0,224;1,9;0;544,777;1,1961;0,3019;129,1992;0,4778;21,3939;8,44;6,5075;2,7;0,0512;0,1153;7,3907;-1,08087589309055;4,52628113064838;2,53502722179342;-3,02865281320252
"123";"Sturnus unicolor";NA;NA;175;35,9;6,6;83,66;1;"Forest";"Omnivore";"Generalist";38,59;826392,84;4,5;NA;8,5;"LC";NA;NA;NA;NA;0,7884;0,5218;31,5625;5,0193;3449,9961;3,9004;0,2712;1431,958;0,4122;15,2972;45,7606;5,6042;1,6875;0,0534;0,1326;6,1486;-0,789300962077543;-0,402507633782694;0,376840906564745;0,701634588590019
"124";"Sturnus vulgaris";1,944873817;62,953;830;38,4;6,5;77,14;2;"Human Modified";"Omnivore";"Insessorial";50,32;17082191,68;5;NA;22,92;"LC";0,0708940337418059;0,0626208292787113;0,127291386711654;0,109968848485209;0,8134;0,6325;28;8,9286;3778,8501;29,263;0,2679;2987,2425;0,4958;25,7536;16,3542;6,771;5,5455;0,0533;0,1311;11,8638;0,569952649194942;-1,7477976180945;-0,172619505528182;1,50156935792431
"125";"Sylvia atricapilla";2,276896406;63,466;2483;27;3,4;16,7;3;"Woodland";"Omnivore";"Insessorial";51,6;8628077,66;5;NA;11,58;"LC";0,000268692211974801;0,00278853479162296;0,00221867740640255;0,000277204026924382;0,8148;0,5755;28;2,7027;3262,9583;1,2758;0,3279;1449,9023;0,4683;23,5393;8,2171;6,4873;6;0,0522;0,1413;1,3876;1,04375071200641;0,932880167784166;-1,21331621684858;0,113443519996864
"126";"Sylvia borin";2,025766407;60,762;841;30;3,6;18,2;3;"Woodland";"Omnivore";"Insessorial";54,65;9648408,47;4,5;NA;19,08;"LC";-0,024807783951241;-0,118297629396125;-0,0298932820278629;-0,0585928668359899;0,8266;0,6104;25,5;6;3128,2646;2,3108;0,3085;2056,4209;0,5327;16,7981;17,43;7,5812;5,5;0,0533;0,1288;4,4425;1,13674751693952;0,282534927041022;-0,998275506145251;-0,27829833131852
"127";"Tachymarptis melba";0,773646681;11,722;76;72,5;3,2;100,38;3;"Rock";"Invertivore";"Aerial";21,34;7307949,41;3;1;26;"LC";-0,226873104906139;-0,0598533551967597;-0,365444341087763;-0,314013216234333;0,8123;0,5535;29,25;2,9046;3933,5098;5,3616;0,2785;1507,3242;0,4631;8,2016;37,1642;10,05;7,75;0,0441;0,1047;14,1142;0,630955338971857;-0,537758324236174;-0,284032100429877;-0,857924296709545
"128";"Tetrax tetrax";0,721403109;3,809;38;40,8;8,6;833,45;2;"Grassland";"Omnivore";"Terrestrial";48,84;5061737,32;3,5;NA;NA;"NT";0,181900685002309;0,288597790705041;0,435437523555566;0,367865893474978;0,3443;0,7223;16;6,1538;4120,292;18,8912;0,227;3488,3789;0,5067;18,1444;6,4365;4;0;0,0562;0,1255;2,5773;0,116722698148994;-2,66653159571949;-0,448062476197287;1,05276027687921
"129";"Troglodytes troglodytes";2,156947979;63,48;2130;15,7;2,7;9,74;3;"Forest";"Invertivore";"Insessorial";46,78;15761767,29;6,5;4;6,75;"LC";-0,00388244866947878;-0,0196197714017451;-0,00630177066466689;-0,00913630162063816;0,8016;0,6109;16;4,7619;4907,5205;1,6122;0,3248;1808,7891;0,4813;13,3708;4,1285;8,5417;4,5;0,0444;0,105;6,0446;1,83365999244291;0,334995972076466;-1,64591089780522;-1,90823956369655
"130";"Turdus iliacus";NA;NA;800;32,3;5,5;61,2;3;"Forest";"Invertivore";"Insessorial";61,67;11966382,53;5;3;18,78;"NT";-0,115587842113379;-0,198099849534818;-0,249277371510839;-0,254711287966236;0,7465;0,6289;31;3,2258;5036,7031;18,8211;0,2458;3273,0469;0,4928;25,1503;8,5375;6,4935;9;0,0486;0,1422;2,2419;1,77961823279124;-1,89120355012111;-1,7825824367054;1,73433337538619
"131";"Turdus merula";2,274035329;63,478;3610;23,1;7,5;102,73;1;"Forest";"Omnivore";"Generalist";49,18;10572243,36;NA;NA;21,9;"LC";-0,00258509885309482;-0,0041038410229907;-0,00255910212333173;-0,00423496137253745;0,85;0,549;28;2,6549;2129,2207;1,7906;0,2809;1658,0566;0,4686;25,1986;15,7094;7;3,25;0,0562;0,1424;4,1775;0,388094964305224;0,834298419757568;-0,182009372355381;0,602321299031416
"132";"Turdus philomelos";2,172802593;60,89514;2371;30,7;5,7;67,74;3;"Forest";"Invertivore";"Generalist";55,86;13727296,63;4;NA;17,67;"LC";-0,0303176468081032;-0,0653352383550112;-0,0412208637462146;-0,0457204211162849;0,7777;0,4895;24,2308;10,6383;3025,3717;8,7837;0,2821;1136,2906;0,445;23,5669;44,1575;5,9423;1,8462;0,0651;0,199;15,3826;-2,22101913618444;0,925529004204893;1,65783388709867;0,75216110695924
"133";"Turdus pilaris";1,608859145;19,3671;723;33,3;6,5;106;3;"Forest";"Invertivore";"Generalist";58,85;15234795,02;5,5;2,5;18,08;"LC";-0,0607143995209288;-0,294998921435592;-0,163128719830798;-0,142092483975537;0,7603;0,6945;29;8,7719;3929,7766;5,1066;0,3073;2988,8086;0,5359;18,0095;9,1004;6,7467;3,2;0,0536;0,138;1,3734;1,59200336694206;-1,06009161218634;-1,88930145132572;0,574944992572686
"134";"Turdus torquatus";0,693212917;8,802;280;31,6;6,6;109;3;"Shrubland";"Omnivore";"Insessorial";52,28;1567292,49;4;NA;10;"LC";-0,261341850896958;-0,419305029704886;-0,496271794716329;-0,488519418444473;0,7286;0,6152;32,8125;5,1793;3326,376;19,4437;0,2752;2244,8364;0,4316;20,1632;40,8834;6,5312;1;0,0574;0,1436;15,4988;-0,975696171012805;-1,70062038928455;0,666847729272029;1,68744424581215
"135";"Turdus viscivorus";2,015779992;61,089;616;35,1;6,9;117,37;1;"Forest";"Omnivore";"Insessorial";51,99;13574080,75;4;3;21,25;"LC";-0,107640808145238;-0,198289873897866;-0,182005470811764;-0,173263752793947;0,8497;0,4366;25,6;8;2466,9453;5,0707;0,2485;568,4766;0,4355;27,8939;21,5035;6,9;1,2;0,0607;0,1765;18,9882;-1,87779906493571;1,58423004813354;1,86962273284808;0,472645660544556
"136";"Upupa epops";2,057843698;56,967;326;21,4;6,3;66,93;3;"Grassland";"Invertivore";"Terrestrial";29,41;46881685,44;7,5;4;11,1;"LC";0,053888140892255;-0,133943534364723;0,120497573695051;0,0787572661546071;0,7655;0,1374;2,2857;11,1111;577,673;1,2207;0,3211;73,8281;0,3685;3,6842;12,209;2,8571;0,8571;0,0647;0,2179;1,7012;-4,06932949837363;4,60988732553137;3,97015627945441;-2,63166922301096
