"";"NomS";"SGIo";"RANGE_BIRDLIFE";"Affinity";"Hand-Wing.Index";"Beak.Depth";"Mass";"Migration";"Habitat";"Trophic.Niche";"Primary.Lifestyle";"Centroid.Latitude";"Range.Size";"avg.clutch";"social";"longevity";"X2019_uicn_redlist";"syn1";"syn2";"syn3";"syn4";"Ht";"Hf";"nfp";"nfp.cqv";"pf";"pf.cqv";"actfract";"sp.bdw";"ugof.iso";"npvi.ioi";"npvi.ioi.cqv";"n.syll";"dur";"syll.dur.med";"ioi.dur.med";"syll.dur.med.cqv";"nonphy.acou.PC1";"nonphy.acou.PC2";"phy.acou.PC1";"phy.acou.PC2"
"23";"Chloris chloris";1,878979328;63,118;1103;32,5;8,8;26;1;"Woodland";"Granivore";"Generalist";50,67;10220595,83;5;NA;13;"LC";0,0834975164252628;0,0767085417830942;0,129063035005759;0,11084165561439;0,8104;0,5356;25;11,5578;3428,2195;4,3152;0,2167;1270,459;0,5633;5,9026;49,9615;9,6167;1,9;0,0385;0,0787;7,6954;0,521696166687103;-0,577605312912029;0,440794333119633;-1,55796009513416
"24";"Cinclus cinclus";0,472182554;27,831;154;27,6;4,4;61,47;1;"Riverine";"Aquatic predator";"Generalist";47,26;8499590,13;4,5;NA;10,58;"LC";-0,0216805794342197;0,0288924006463358;-0,368933799614335;-0,182399766522761;0,7534;0,6362;22;10,3448;3988,8428;11,6385;0,3243;2573,2178;0,5443;24,3861;7,165;5,0496;6,75;0,0553;0,1945;3,5181;0,716303912002253;0,225892630598783;-1,16158600834834;0,606738768188954
"25";"Cisticola juncidis";0,681202144;9,702;471;13,5;2,6;6,81;3;"Grassland";"Invertivore";"Generalist";10,73;18929166,75;5;3,5;NA;"LC";0,0980128016805213;0,0129271177946298;0,156569844563137;0,118992330639937;0,6902;0,6065;14;0;7193,0234;0;0,1964;1937,9883;0,554;25,9885;0;4,0714;14;0,0537;0,2061;0;1,47879374718998;0,515032421847449;-2,23337520829587;0,680974581761092
"26";"Clamator glandarius";1,329361851;3,144;83;41,9;8,4;143;3;"Shrubland";"Invertivore";"Insessorial";1,44;13672737,21;18;NA;NA;"LC";0,00122220289967104;0,156325485911633;-0,0730682959352468;0,0473492972223952;0,8574;0,5823;34,3636;10,1449;2759,0018;39,9277;0,1578;2525,2575;0,317;9,1595;100;5,1515;1,2727;0,066;0,1056;11,6455;-3,04428733918314;-4,01871617382993;3,23891384852924;3,30304831808564
"27";"Coccothraustes coccothraustes";1,253586113;48,092;665;32,9;15;56,63;2;"Forest";"Omnivore";"Insessorial";51,17;12197802,66;4,5;NA;12,58;"LC";-0,226892470094871;-0,229974147138932;-0,315702266603421;-0,292663294203484;0,5343;0,3069;33,4;1,4925;5218,3687;0,1726;0,2445;249,7852;0,1533;9,4068;100;2,4;0;0,0576;0,1798;0,6364;-4,22878671946745;-0,609920490939713;2,16058420973733;1,43562080335494
"28";"Columba livia";0,46243964;51,507;131;45,1;5;354,2;1;"Human Modified";"Granivore";"Terrestrial";33,52;17464191,46;2;1;21,54;"LC";0,295321104133614;0,357377610535693;0,455387900284102;0,424209377875451;0,9156;0,2708;2;0;428,0977;0,7592;0,1633;172,2656;0,4819;15,4505;5,1423;9,5;1;0,045;0,1038;8,062;-0,630273014464359;3,44392642349207;2,94657102291776;-2,98366808721235
"29";"Columba oenas";1,824887471;44,852;119;42,5;7,8;290,79;1;"Woodland";"Omnivore";"Terrestrial";50,84;9272521,23;2;NA;12,58;"LC";0,0716446702291348;0,116526899174746;0,0581425960983638;0,0778650574535664;0,8415;0,1984;2,3333;20;387,8646;0,3856;0,259;114,8438;0,4724;15,0141;56,6701;4,2222;0,8889;0,0597;0,1537;6,7598;-3,52496522339108;4,07433805896236;4,37535939576947;-2,49286893816878
"30";"Columba palumbus";2,191999283;63,402;352;41,2;7,8;490;1;"Woodland";"Omnivore";"Terrestrial";50,34;11947217,36;2;NA;17,7;"LC";0,00552599779858644;0,00536027250074037;0,0112117005513904;0,00714994113941319;0,8516;0,2976;1;0;496,1973;3,0358;0,342;236,8652;0,5002;26,5452;5,0521;5,875;5,5;0,0512;0,1393;2,1233;-0,374152261260743;4,94022105747361;1,68832232589852;-2,73701088163686
"31";"Coracias garrulus";1,558092781;2,581;70;37,5;12,9;146;3;"Woodland";"Invertivore";"Insessorial";43,92;9539437,58;4;2,66666666666667;9,17;"LC";0,0132342256471027;0,360751015008318;-0,0308617359026848;0,0548664375140906;0,8181;0,5504;30,2143;13,1148;2264,8627;29,2246;0,257;1455,0293;0,3744;18,1409;53,4586;5,0095;2;0,053;0,1448;8,0094;-1,91753360335209;-1,18229430787002;2,06795611951836;1,49350345969224
"32";"Corvus corax";1,23421912;20,352;1135;39,8;27,9;927,97;2;"Forest";"Omnivore";"Terrestrial";54,65;52288449,5;5;NA;21,92;"LC";-0,379271502894428;-0,483519617835432;-0,829850319538387;-0,657209576317342;0,7891;0,4849;34;4,3478;1327,9807;5,903;0,2065;1597,9122;0,1791;8,8103;100;2,3793;0,4483;0,0832;0,1749;21,5017;-5,61846458200335;-1,39352206769489;4,241181486633;3,4257303951225
"33";"Corvus corone";2,180495842;63,478;954;36,9;18,5;570;1;"Human Modified";"Omnivore";"Terrestrial";52,96;33343165,09;4,5;3;17,92;"LC";0,0167139491469246;0,0105036358561934;0,0310149123627536;0,0232191810475238;0,8242;0,5673;27,6;14,2857;1801,9227;18,6348;0,2396;1688,2031;0,5236;28,7789;8,3501;7,1567;3,4;0,0495;0,1347;14,2942;-0,189942425321949;-0,00135825365830751;1,06105531929742;0,695448003133968
"34";"Corvus frugilegus";1,377710806;36,153;386;41;18,3;452,1;1;"Grassland";"Omnivore";"Terrestrial";50,24;19019081,22;4;1;20,5;"LC";0,247788782087806;0,177356721030673;0,453010195006165;0,367151207889694;0,8997;0,5325;26,8;14,8148;1398,2852;12,0514;0,1721;1455,6445;0,4008;16,1009;62,4416;6,3;1;0,0588;0,1058;2,9388;-1,53279626813806;-0,682528973902918;2,25378762852628;1,0630686209418
"35";"Corvus monedula";1,801350086;58,241;395;39,1;13,3;246;2;"Human Modified";"Omnivore";"Terrestrial";48,54;13975046,48;NA;NA;NA;"LC";0,160066797566363;0,106015269700075;0,290651633999597;0,23768103306864;0,7831;0,5026;31,1111;6,25;1894,4184;16,5452;0,1969;1665,2344;0,2074;6,2691;100;4;0,4444;0,0543;0,1228;1,3324;-3,05013603668391;-2,11084317694957;2,85827230390239;1,95367655866275
"36";"Cuculus canorus";2,188828206;63,478;688;43,9;7,6;111,36;3;"Forest";"Invertivore";"Insessorial";49,44;37338142,79;9,2;NA;12,92;"LC";-0,0866431418086104;-0,168842865359879;-0,125944056858541;-0,131291121954926;0,7326;0,2728;1,6;33,3333;627,9031;12,2449;0,385;241,1719;0,2446;27,2066;100;2,8;1;0,0801;0,2278;23,8135;-6,86002560992551;3,79346869736315;6,05639447126645;-1,03921467460034
"37";"Curruca cantillans";0,873396724;8,567;288;22,3;3,3;9,6;3;"Shrubland";"Invertivore";"Insessorial";38,35;1448615,93;3,5;3,5;NA;"LC";-0,452896523342203;-0,45627979858943;-0,912797977888664;-0,645478415081835;0,8135;0,6567;27;7,4074;3865,0969;11,9545;0,3154;2222,2266;0,4835;15,3794;4,4851;9,0667;3,2;0,0453;0,101;3,9965;1,84771261513806;-0,865137752029493;-1,47165876977933;-0,587434769284795
"38";"Curruca communis";1,962450514;61,31;1863;24,2;3,3;15,1;3;"Shrubland";"Invertivore";"Insessorial";50,84;14124012,64;4,5;NA;8,9;"LC";0,0898941762435614;-0,0661018788211051;0,162520005390483;0,11380185081066;0,8766;0,6054;31;4,918;3182,8477;9,308;0,2556;1757,1094;0,5159;17,5322;7,9674;8,7714;5,4;0,0518;0,1199;1,412;1,42026857664201;-0,300543506645374;-0,924061573618298;0,309130648632298
"39";"Curruca conspicillata";1,416144754;3,05;127;19,4;2,4;9;3;"Shrubland";"Invertivore";"Insessorial";35,25;1315716,19;5;5;NA;"LC";NA;NA;NA;NA;0,8657;0,6187;26,8;9,434;3803,8039;0,6563;0,2619;1963,8281;0,5205;16,8425;10,4956;8,6;2,2;0,0537;0,116;12,1613;0,881736352802513;-0,288511273935538;-0,701710979675318;-0,276819553165406
"40";"Curruca curruca";1,938387772;28,673;1143;22;3,1;11,44;3;"Shrubland";"Invertivore";"Insessorial";51,94;21087199,91;5;NA;9;"LC";0,027475830753478;-0,0795268248980369;0,0043766042518055;0,0347332052354506;0,8015;0,6128;23,6;12,5;4001,8961;8,674;0,3002;1714,043;0,4611;14,051;7,8093;9,4667;2,6;0,0441;0,0872;8,1893;1,26614529560795;-0,491573413540391;-0,788244363542808;-1,38075565828887
"41";"Curruca hortensis";1,023182393;9,253;105;23,2;4,2;21,9;3;"Woodland";"Invertivore";"Insessorial";37,79;1039800,12;4;NA;5;"LC";-0,233821110009757;-0,196658618899598;-0,404320999176601;-0,298806922556983;0,8524;0,494;21;10;2577,518;0,9209;0,2538;981,9141;0,4751;17,8494;18,9786;6,6;2;0,055;0,1263;8,1106;-0,518033656859332;1,16926104564363;0,854790007343179;-0,637209258764754
"42";"Curruca melanocephala";1,01051803;8,282;706;18;3;11,7;2;"Shrubland";"Invertivore";"Insessorial";37,82;1781820,85;4;NA;8,3;"LC";-0,259467218999895;0,137607502728027;-0,457673423456849;-0,289625980766069;0,7913;0,5263;25,75;15,942;4407,2236;1,57;0,2641;1205,8594;0,4602;16,0784;18,7975;12,25;1,5;0,039;0,09;3,4722;1,53144391069785;0,019903702875131;-0,830416083111772;-2,04030446731789
"43";"Curruca undata";0,446115067;19,102;209;14,1;2,5;10,8;1;"Shrubland";"Invertivore";"Insessorial";40,86;826720,86;4,5;3,5;4;"NT";-0,611809378212488;-0,471947710089973;-1,13226415491164;-0,911558326661732;0,8661;0,5984;22;4,5977;4015,6426;0,7924;0,2585;1614,9902;0,5337;14,4192;5,9497;9,5417;2,25;0,0463;0,098;4,106;1,83274991235594;0,149716718996705;-1,20056629214145;-1,24485351858753
"44";"Cyanistes caeruleus";2,219532707;62,709;2513;21;4,2;11,1;1;"Forest";"Invertivore";"Insessorial";50,72;8753389,8;11;4,5;14,6;"LC";0,00598342195074278;0,00517659555351211;0,00340386403398051;0,00294207673158334;0,8266;0,4834;19,8333;21,25;5017,8366;4,8531;0,2455;1457,0801;0,4841;10,9574;29,4255;8,3056;2,3333;0,0553;0,1246;18,3383;-0,9055562766656;-0,0580733292016039;0,880732983203193;-1,36263358173262
"45";"Delichon urbicum";1,239561771;63,547;354;54,3;2,9;14,5;3;"Human Modified";"Invertivore";"Aerial";51,81;16377219,72;1,5;1;14,5;"LC";0,126380702960118;0,097593423732838;0,161829699661177;0,154929923868669;0,808;0,6602;17,5;1,4286;4030,6426;10,3928;0,2953;2196,3867;0,534;17,4584;7,8567;7,8;9;0,0501;0,1212;0,7215;2,07795522178482;0,067311590154843;-1,61205409129372;-0,577707623234138
"46";"Dendrocopos major";2,048042815;62,518;1359;29,3;8,7;74,94;1;"Woodland";"Omnivore";"Insessorial";51,97;24413724,29;5,5;4;12,67;"LC";-0,051535723674009;-0,0965927798932141;-0,0828392920365759;-0,082629008211629;0,6773;0,5043;25,5263;22,2222;2024,367;52,1556;0,2287;1434,7913;0,3349;8,884;100;6,9474;0,6316;0,0398;0,0787;22,0276;-3,53949761554475;-3,14054765012851;4,66569765930159;0,348773660596676
"47";"Dryobates minor";1,971588121;59,168;439;27,4;4,7;19,8;1;"Forest";"Invertivore";"Insessorial";54,79;18548908,46;5;5;9,8;"LC";-0,100712282050459;-0,0688099915480353;-0,127480919830433;-0,115988480846102;0,8159;0,464;18,625;22,7586;1715,7065;11,6213;0,248;1534,2407;0,4753;18,4748;19,6867;13,3542;1,625;0,0382;0,0817;15,486;0,3949569858073;0,528050312310508;1,4820844490751;-2,58608016323637
